  6  2 25 16     -2.25    -25.02    250.25      0.00     26.65     -7.25    429.84     23.56     23.38     -0.25      0.86      0.00      0.00      0.00
  7  2 25 16     -2.75    -23.22    232.19      0.00     26.58     -7.25    429.84     23.56     23.38     -0.25      0.86      0.00      0.00      0.00
  8  2 25 16     -3.25    -21.50    214.97      0.00     26.50     -7.25    429.84     23.56     23.38     -0.25      0.86      0.00      0.00      0.00
  9  2 25 16     -3.75    -19.86    198.57      0.00     26.42     -7.25    429.84     23.56     23.38     -0.25      0.87      0.00      0.00      0.00
 10  2 25 16     -4.25    -18.29    182.93      0.00     26.35     -7.25    429.84     23.56     23.38     -0.25      0.87      0.00      0.00      0.00
 11  2 25 16     -4.75    -16.80    167.97      0.00     26.27     -7.25    429.84     23.56     23.38     -0.25      0.89      0.00      0.00      0.00
 12  2 25 16     -5.25    -15.36    153.61      0.00     26.19     -7.25    429.84     23.56     23.38     -0.25      0.90      0.00      0.00      0.00
 13  2 25 16     -5.75    -13.97    139.72      0.00     26.12     -7.25    429.84     23.56     23.38     -0.25      0.93      0.00      0.00      0.00
 14  2 25 16     -6.25    -12.62    126.22      0.00     26.04     -7.25    429.84     23.56     23.38     -0.25      0.96      0.00      0.00      0.00
 15  2 25 16     -6.75    -11.29    112.94      0.00     25.12     -7.25    429.84     23.56     23.38     -0.25      1.01      0.00      0.00      0.00
 16  2 25 16     -7.25    429.84     99.64      0.00     23.38     -7.25    429.84     23.56     23.38     -0.25      1.07      0.00      0.00      0.00
 17  2 25 16     -7.75     -8.61     86.05      0.00     21.62     -7.25    429.84     23.56     23.38     -0.25      1.18      0.00      0.00      0.00
